aX;aY;aZ
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.01
-0.02;-0.01;1.01
-0.02;-0.01;1.00
-0.02;-0.01;1.01
-0.02;-0.01;1.00
-0.02;-0.01;1.01
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.01
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.01
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.01
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.01
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.01
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.01
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.01
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
-0.02;-0.01;1.00
